,precision,recall,f1-score,support
Garbage and Solid Waste,0.9986568166554735,0.9906728847435043,0.9946488294314382,1501.0
Water Supply,1.0,1.0,1.0,12.0
Storm Water Drainage,0.9743589743589743,1.0,0.987012987012987,38.0
Sewage and Sanitation,1.0,1.0,1.0,13.0
Roads and Potholes,0.9969325153374233,0.9923664122137404,0.9946442234123948,655.0
Street Lights and Electrical,1.0,1.0,1.0,1655.0
Parks and Environment,1.0,0.986159169550173,0.9930313588850174,289.0
Public Health,0.9977011494252873,0.9931350114416476,0.9954128440366973,437.0
Traffic and Public Safety,1.0,1.0,1.0,5.0
Property and Tax,0.9956709956709957,1.0,0.9978308026030369,230.0
Town Planning and Infrastructure,1.0,0.9032258064516129,0.9491525423728814,31.0
Other Public Services,1.0,0.9056603773584906,0.9504950495049505,53.0
Others,0.7407407407407407,0.9876543209876543,0.8465608465608465,81.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.9772354763222227,0.9814518448266788,0.9775991910630961,5000.0
weighted avg,0.9944000103349397,0.993,0.9933640615974911,5000.0
