Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20771690,Electrical,Street Light Not Working,2025-06-19 10:39:00.000000000,Jagajeevanram Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771689,Electrical,Street Light Not Working,2025-06-19 10:36:00.000000000,Kammanahalli,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE
20771688,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:35:00.000000000,Banaswadi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 27/Marshal
20771687,Electrical,Street Light Not Working,2025-06-19 10:34:00.000000000,Gandhi Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771686,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:34:00.000000000,Kumaraswamy Layout,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 181/Marshal
20771685,Electrical,Street Light Not Working,2025-06-19 10:31:00.000000000,Jogupalya,Registered,1st Assignment Based on Ward Mapping,Durga Prasad/AE
20771684,Electrical,Street Light Not Working,2025-06-19 10:30:00.000000000,Vijanapura,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771683,Electrical,Street Light Not Working,2025-06-19 10:30:00.000000000,Shanthi Nagar,Registered,1st Assignment Based on Ward Mapping,Durga Prasad/AE
20771682,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:24:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 184/Marshal
20771681,Road Maintenance(Engg),footpath encroachment,2025-06-19 10:22:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,C Rachipa/AE
20771680,Electrical,Street Light Not Working,2025-06-19 10:20:00.000000000,Kengeri,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771679,veterinary,Stray dog related complaints,2025-06-19 10:20:00.000000000,Shankaramata,Registered,1st Assignment Based on Ward Mapping,Lokesh/VI
20771678,veterinary,Animal Rescue - Not well - Requires attention,2025-06-19 10:18:00.000000000,Singasandra,Registered,1st Assignment Based on Ward Mapping,Krishnaiah/VI
20771677,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:16:00.000000000,Kavalbyrasandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 32/Marshal
20771676,Electrical,Street Light Not Working,2025-06-19 10:16:00.000000000,Shankaramata,Registered,1st Assignment Based on Ward Mapping,Jameel/AE
20771675,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:15:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 06/Marshal
20771674,Electrical,Street Light Not Working,2025-06-19 10:14:00.000000000,Giri Nagar,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE
20771673,Electrical,Street Light Not Working,2025-06-19 10:13:00.000000000,Begur,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771672,Forest,obstructions Branches / Trees.,2025-06-19 10:11:00.000000000,Vishwanathnagenahalli,Registered,1st Assignment Based on Ward Mapping,P Nagendra /DYRFO
20771671,Forest,Removal of dead/fallen trees,2025-06-19 10:11:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771670,Electrical,Street Light Not Working,2025-06-19 10:10:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771669,Electrical,Street Light Not Working,2025-06-19 10:10:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771668,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:09:00.000000000,Kumaraswamy Layout,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 181/Marshal
20771667,Forest,Removal of dead/fallen trees,2025-06-19 10:09:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771666,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:09:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 85/Marshal
20771665,Forest,Removal of dead/fallen trees,2025-06-19 10:08:00.000000000,Gottigere,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771664,Health Dept,Unhygienic  premises in hospital,2025-06-19 10:07:00.000000000,Hoysala Nagar,Registered,1st Assignment Based on Ward Mapping,Smt S. Chitra/SHI
20771663,Others,Others,2025-06-19 10:06:00.000000000,Singasandra,Registered,1st Assignment Based on Ward Mapping,BBMP Whatsapp/Customer Support Representative
20771662,Road Maintenance(Engg),Potholes,2025-06-19 10:05:00.000000000,Bilekahalli,Registered,1st Assignment Based on Ward Mapping,AE Ward 188/AE
20771661,Electrical,Street Light Not Working,2025-06-19 10:04:00.000000000,BTM Layout,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE
20771660,Electrical,Street Light Not Working,2025-06-19 10:04:00.000000000,Gottigere,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771659,veterinary,Anti Rabies Vaccination of stray dogs,2025-06-19 10:02:00.000000000,Varthur,Registered,1st Assignment Based on Ward Mapping,B K Ashwath Narayan/VI
20771658,Electrical,Street Light Not Working,2025-06-19 10:00:00.000000000,Bellandur,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771657,Forest,Removal of dead/fallen trees,2025-06-19 10:00:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771656,Road Maintenance(Engg),Road side drains,2025-06-19 09:55:00.000000000,Varthur,Registered,1st Assignment Based on Ward Mapping,Nandish/AE
20771655,Electrical,Street Light Not Working,2025-06-19 09:52:00.000000000,Basaveshwara Nagar,Registered,1st Assignment Based on Ward Mapping,Anand/JE
20771654,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:50:00.000000000,Bommanahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 175/Marshal
20771653,veterinary,shifting of the street dogs to other places,2025-06-19 09:50:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,Uma V.H/VI
20771652,Electrical,Street Light Not Working,2025-06-19 09:46:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771651,Electrical,Street Light Not Working,2025-06-19 09:45:00.000000000,Padarayanapura,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771650,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:43:00.000000000,Shiva Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 107/Marshal
20771649,Road Maintenance(Engg),Road side drains,2025-06-19 09:37:00.000000000,Radhakrishna Temple,Registered,1st Assignment Based on Ward Mapping,Surendra/AE
20771648,Forest,Removal of dead/fallen trees,2025-06-19 09:36:00.000000000,Giri Nagar,Registered,1st Assignment Based on Ward Mapping,Shivanna T.C/DYRFO
20771647,Electrical,Street Light Not Working,2025-06-19 09:36:00.000000000,Sanjay Nagar,Registered,1st Assignment Based on Ward Mapping,Anand/AE
20771646,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:34:00.000000000,Hagadooru,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 84/Marshal
20771645,Electrical,Street Light Not Working,2025-06-19 09:34:00.000000000,Benniganahalli,Registered,1st Assignment Based on Ward Mapping,Durga Prasad/AE
20771644,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:30:00.000000000,Padmanabha Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 182/Marshal
20771643,Electrical,Street Light Not Working,2025-06-19 09:29:00.000000000,Herohalli,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771642,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:27:00.000000000,HSR Layout,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 174/Marshal
20771641,Forest,obstructions Branches / Trees.,2025-06-19 09:26:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771640,Electrical,Street Light Not Working,2025-06-19 09:25:00.000000000,BTM Layout,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE
20771639,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 09:21:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 06/Marshal
20771638,Solid Waste (Garbage) Related,Sweeping not done,2025-06-19 09:21:00.000000000,Yelahanka old Satellite Town,Registered,1st Assignment Based on Ward Mapping,JHI Ward 4/JHI
